,syllable,frequency,n_phonemes,pattern,complex_const,diphthong,reduced_patterns,vowel,cons_pre_nucleus,cons_post_nucleus
63,sʌm,3,3,CVC,False,False,CVC,ʌ,s,m
64,laɪn,3,4,CVVC,False,True,CVC,aɪ,l,n
65,leɪ,3,3,CVV,False,True,CV,eɪ,l,
66,peɪn,3,4,CVVC,False,True,CVC,eɪ,p,n
67,pɑrt,3,4,CVCC,False,False,CVC,ɑ,p,rt
68,læn,3,3,CVC,False,False,CVC,æ,l,n
69,wɔ,3,2,CV,False,False,CV,ɔ,w,
70,fi,3,2,CV,False,False,CV,i,f,
71,fɪn,3,3,CVC,False,False,CVC,ɪ,f,n
72,ənt,3,3,VCC,False,False,VC,ə,,nt
73,lʊk,3,3,CVC,False,False,CVC,ʊ,l,k
74,haɪ,3,3,CVV,False,True,CV,aɪ,h,
75,kʌm,3,3,CVC,False,False,CVC,ʌ,k,m
76,aɪ,3,2,VV,False,True,V,aɪ,,
77,wik,3,3,CVC,False,False,CVC,i,w,k
78,saɪd,3,4,CVVC,False,True,CVC,aɪ,s,d
79,hɜr,3,3,CVC,False,False,CVC,ɜ,h,r
80,kɑr,3,3,CVC,False,False,CVC,ɑ,k,r
81,tɪŋ,3,3,CVC,False,False,CVC,ɪ,t,ŋ
82,rɒb,3,3,CVC,False,False,CVC,ɒ,r,b
83,əm,3,2,VC,False,False,VC,ə,,m
84,stɔr,3,4,CCVC,False,False,CVC,ɔ,st,r
85,səl,3,3,CVC,False,False,CVC,ə,s,l
86,sɜr,3,3,CVC,False,False,CVC,ɜ,s,r
87,lɪŋ,3,3,CVC,False,False,CVC,ɪ,l,ŋ
88,mæt,3,3,CVC,False,False,CVC,æ,m,t
89,vər,3,3,CVC,False,False,CVC,ə,v,r
90,ʃɪp,3,3,CVC,False,False,CVC,ɪ,ʃ,p
91,lɪt,3,3,CVC,False,False,CVC,ɪ,l,t
92,meɪ,3,3,CVV,False,True,CV,eɪ,m,
93,teɪ,3,3,CVV,False,True,CV,eɪ,t,
94,kɪts,3,4,CVCC,False,False,CVC,ɪ,k,ts
95,roʊz,3,4,CVVC,False,True,CVC,oʊ,r,z
96,pɪk,3,3,CVC,False,False,CVC,ɪ,p,k
97,steɪt,3,5,CCVVC,False,True,CVC,eɪ,st,t
98,zi,3,2,CV,False,False,CV,i,z,
99,ʌn,3,2,VC,False,False,VC,ʌ,,n
100,æd,3,2,VC,False,False,VC,æ,,d
101,dʒʌmp,2,5,CCVCC,False,False,CVC,ʌ,dʒ,mp
102,dɔr,2,3,CVC,False,False,CVC,ɔ,d,r
103,rəts,2,4,CVCC,False,False,CVC,ə,r,ts
104,sɪk,2,3,CVC,False,False,CVC,ɪ,s,k
105,gɛt,2,3,CVC,False,False,CVC,ɛ,g,t
106,mər,2,3,CVC,False,False,CVC,ə,m,r
107,fɪs,2,3,CVC,False,False,CVC,ɪ,f,s
108,sɜrv,2,4,CVCC,False,False,CVC,ɜ,s,rv
109,bæk,2,3,CVC,False,False,CVC,æ,b,k
110,sɛl,2,3,CVC,False,False,CVC,ɛ,s,l
111,pɒk,2,3,CVC,False,False,CVC,ɒ,p,k
112,pɔr,2,3,CVC,False,False,CVC,ɔ,p,r
113,ɪnz,2,3,VCC,False,False,VC,ɪ,,nz
114,it,2,2,VC,False,False,VC,i,,t
115,taɪmz,2,5,CVVCC,False,True,CVC,aɪ,t,mz
116,zɛst,2,4,CVCC,False,False,CVC,ɛ,z,st
117,meɪk,2,4,CVVC,False,True,CVC,eɪ,m,k
118,mɛt,2,3,CVC,False,False,CVC,ɛ,m,t
119,sti,2,3,CCV,False,False,CV,i,st,
120,dl,2,2,CC,False,False,C,,,
121,wæks,2,4,CVCC,False,False,CVC,æ,w,ks
122,kru,2,3,CCV,False,False,CV,u,kr,
123,pæl,2,3,CVC,False,False,CVC,æ,p,l
124,ɛr,2,2,VC,False,False,VC,ɛ,,r
125,moʊst,2,5,CVVCC,False,True,CVC,oʊ,m,st
126,fleɪ,2,4,CCVV,False,True,CV,eɪ,fl,
127,sɛn,2,3,CVC,False,False,CVC,ɛ,s,n
128,laʊd,2,4,CVVC,False,True,CVC,aʊ,l,d
129,ðɛər,2,4,CVVC,False,True,CVC,ɛə,ð,r
130,bɔl,2,3,CVC,False,False,CVC,ɔ,b,l
131,wɜrld,2,5,CVCCC,True,False,CVC,ɜ,w,rld
132,stɑrt,2,5,CCVCC,False,False,CVC,ɑ,st,rt
133,dʒɜrk,2,5,CCVCC,False,False,CVC,ɜ,dʒ,rk
134,bʊʃ,2,3,CVC,False,False,CVC,ʊ,b,ʃ
135,lis,2,3,CVC,False,False,CVC,i,l,s
136,kɜr,2,3,CVC,False,False,CVC,ɜ,k,r
137,kæp,2,3,CVC,False,False,CVC,æ,k,p
138,wʌn,2,3,CVC,False,False,CVC,ʌ,w,n
139,θru,2,3,CCV,False,False,CV,u,θr,
140,ɛn,2,2,VC,False,False,VC,ɛ,,n
141,ʃu,2,2,CV,False,False,CV,u,ʃ,
142,seɪv,2,4,CVVC,False,True,CVC,eɪ,s,v
143,pi,2,2,CV,False,False,CV,i,p,
144,kɔr,2,3,CVC,False,False,CVC,ɔ,k,r
145,koʊld,2,5,CVVCC,False,True,CVC,oʊ,k,ld
146,sɪks,2,4,CVCC,False,False,CVC,ɪ,s,ks
147,iz,2,2,VC,False,False,VC,i,,z
148,nu,2,2,CV,False,False,CV,u,n,
149,wɔl,2,3,CVC,False,False,CVC,ɔ,w,l
150,bʌk,2,3,CVC,False,False,CVC,ʌ,b,k
151,lɪv,2,3,CVC,False,False,CVC,ɪ,l,v
152,braɪt,2,5,CCVVC,False,True,CVC,aɪ,br,t
153,wɔk,2,3,CVC,False,False,CVC,ɔ,w,k
